대학명,학과/프로그램,특징
Harvard University (미국),Earth and Planetary Sciences,"세계적 고생물학 연구, 방대한 화석 컬렉션, 엄격한 커리큘럼"
Stanford University (미국),Geological Sciences,고생물학 및 지질학 융합 연구
"University of California, Berkeley (미국)","Integrative Biology, Earth and Planetary Science","UCMP(캘리포니아 고생물학 박물관) 소속, 실습 중심 교육"
"University of Chicago (미국)","Organismal Biology and Anatomy, Geophysical Sciences","척추고생물학, 맞춤형 대학원 과정, 최신 연구시설"
Yale University (미국),Geology & Geophysics,"5백만 점 이상의 화석 소장, 다양한 연구 주제"
"University of Michigan, Ann Arbor (미국)",Earth and Environmental Sciences,"학부·대학원 고생물학 과정, 현장 실습"
University of Oxford (영국),Earth Sciences,유럽 내 고생물학 연구 중심지
University of Cambridge (영국),Earth Sciences,고생물학 및 지질학 연구 전통
University of Toronto (캐나다),Earth Sciences,북미 대표 고생물학 연구
University of Alberta (캐나다),Biological Sciences,"온라인 고생물학 과정 제공, 세계적 연구진"
University of Tokyo (일본),Earth and Planetary Science,아시아 대표 고생물학 연구
